student_id,sign_in_key,group_id,round_id,question_set_id
kvmdzh,kvmdzh,teama,Round 1,teama_a_r1
kvmdzh,kvmdzh,teama,Round 2,teama_a_r2
xcahem,xcahem,teama,Round 1,teama_b_r1
xcahem,xcahem,teama,Round 2,teama_b_r2
brtybe,brtybe,teama,Round 1,teama_c_r1
brtybe,brtybe,teama,Round 2,teama_c_r2
mdzaek,mdzaek,teamb,Round 1,teamb_a_r1
mdzaek,mdzaek,teamb,Round 2,teamb_a_r2
auawbr,auawbr,teamb,Round 1,teamb_b_r1
auawbr,auawbr,teamb,Round 2,teamb_b_r2
amfjhj,amfjhj,teamb,Round 1,teamb_c_r1
amfjhj,amfjhj,teamb,Round 2,teamb_c_r2
hyxcsy,hyxcsy,teamc,Round 1,teamc_a_r1
hyxcsy,hyxcsy,teamc,Round 2,teamc_a_r2
yzvntt,yzvntt,teamc,Round 1,teamc_b_r1
yzvntt,yzvntt,teamc,Round 2,teamc_b_r2
vpmhdv,vpmhdv,teamc,Round 1,teamc_c_r1
vpmhdv,vpmhdv,teamc,Round 2,teamc_c_r2
wsuwjf,wsuwjf,teamd,Round 1,teamd_a_r1
wsuwjf,wsuwjf,teamd,Round 2,teamd_a_r2
szrezs,szrezs,teamd,Round 1,teamd_b_r1
szrezs,szrezs,teamd,Round 2,teamd_b_r2
uysmyx,uysmyx,teamd,Round 1,teamd_c_r1
uysmyx,uysmyx,teamd,Round 2,teamd_c_r2
atffbz,atffbz,teame,Round 1,teame_a_r1
atffbz,atffbz,teame,Round 2,teame_a_r2
zjmdwx,zjmdwx,teame,Round 1,teame_b_r1
zjmdwx,zjmdwx,teame,Round 2,teame_b_r2
hcmhbk,hcmhbk,teame,Round 1,teame_c_r1
hcmhbk,hcmhbk,teame,Round 2,teame_c_r2
syzjgx,syzjgx,teamf,Round 1,teamf_a_r1
syzjgx,syzjgx,teamf,Round 2,teamf_a_r2
ztnazv,ztnazv,teamf,Round 1,teamf_b_r1
ztnazv,ztnazv,teamf,Round 2,teamf_b_r2
vdfsva,vdfsva,teamf,Round 1,teamf_c_r1
vdfsva,vdfsva,teamf,Round 2,teamf_c_r2
pbytre,pbytre,teamg,Round 1,teamg_a_r1
pbytre,pbytre,teamg,Round 2,teamg_a_r2
qxreuy,qxreuy,teamg,Round 1,teamg_b_r1
qxreuy,qxreuy,teamg,Round 2,teamg_b_r2
afbhpr,afbhpr,teamg,Round 1,teamg_c_r1
afbhpr,afbhpr,teamg,Round 2,teamg_c_r2
mrdqdy,mrdqdy,teamh,Round 1,teamh_a_r1
mrdqdy,mrdqdy,teamh,Round 2,teamh_a_r2
nhqbyh,nhqbyh,teamh,Round 1,teamh_b_r1
nhqbyh,nhqbyh,teamh,Round 2,teamh_b_r2
yjaenr,yjaenr,teamh,Round 1,teamh_c_r1
yjaenr,yjaenr,teamh,Round 2,teamh_c_r2
gxjxqx,gxjxqx,teami,Round 1,teami_a_r1
gxjxqx,gxjxqx,teami,Round 2,teami_a_r2
mqaejk,mqaejk,teami,Round 1,teami_b_r1
mqaejk,mqaejk,teami,Round 2,teami_b_r2
tnbxnz,tnbxnz,teami,Round 1,teami_c_r1
tnbxnz,tnbxnz,teami,Round 2,teami_c_r2
hbdbwc,hbdbwc,teami,Round 1,teami_d_r1
hbdbwc,hbdbwc,teami,Round 2,teami_d_r2
testaa,testaa,testa,Round 1,testa_a_r1
testaa,testaa,testa,Round 2,testa_a_r2
testab,testab,testa,Round 1,testa_b_r1
testab,testab,testa,Round 2,testa_b_r2
testac,testac,testa,Round 1,testa_c_r1
testac,testac,testa,Round 2,testa_c_r2
testba,testba,testb,Round 1,testb_a_r1
testba,testba,testb,Round 2,testb_a_r2
testbb,testbb,testb,Round 1,testb_b_r1
testbb,testbb,testb,Round 2,testb_b_r2
testbc,testbc,testb,Round 1,testb_c_r1
testbc,testbc,testb,Round 2,testb_c_r2
testca,testca,testc,Round 1,testc_a_r1
testca,testca,testc,Round 2,testc_a_r2
testcb,testcb,testc,Round 1,testc_b_r1
testcb,testcb,testc,Round 2,testc_b_r2
testcc,testcc,testc,Round 1,testc_c_r1
testcc,testcc,testc,Round 2,testc_c_r2
testda,testda,testd,Round 1,testd_a_r1
testda,testda,testd,Round 2,testd_a_r2
testdb,testdb,testd,Round 1,testd_b_r1
testdb,testdb,testd,Round 2,testd_b_r2
testdc,testdc,testd,Round 1,testd_c_r1
testdc,testdc,testd,Round 2,testd_c_r2
